,DevStage,pH,Weight,SNVL,Tail,MeanTemp,DeltaTemp,DissolvedOxygen,Conductivity,Elevation,BdCopies
S093,Metamorphic,7.31,32,80,105,10.58,8.1,108.66,114,3177,0
S124,Non-metamorphic,7.41,9,60,74,9.086,7.08,87.93,128.33,3177,4476.780967
S125,Non-metamorphic,7.41,9,56,60,9.086,7.08,87.93,128.33,3177,639.0970283
S126,Non-metamorphic,7.41,15,68,71,9.086,7.08,87.93,128.33,3177,1030.3378
S129,Non-metamorphic,7.41,10,62,66,9.086,7.08,87.93,128.33,3177,163.9916957
S130,Non-metamorphic,7.41,13,67,77,9.086,7.08,87.93,128.33,3177,71.66357421
S131,Non-metamorphic,7.41,13,62,75,9.086,7.08,87.93,128.33,3177,5921.723466
S132,Non-metamorphic,7.41,3,46,40,9.086,7.08,87.93,128.33,3177,374.0183621
S133,Non-metamorphic,7.41,7,58,59,9.086,7.08,87.93,128.33,3177,62.94647066
S135,Non-metamorphic,7.41,6,55,46,9.086,7.08,87.93,128.33,3177,10277.39047
S136,Non-metamorphic,7.41,10,65,67,9.086,7.08,87.93,128.33,3177,323.1380357
S137,Non-metamorphic,7.41,16,72,83,9.086,7.08,87.93,128.33,3177,1117.026652
S138,Non-metamorphic,7.41,8,61,64,9.086,7.08,87.93,128.33,3177,1822.882092
S227,Non-metamorphic,7.63,5,51,57,10.75,7.17,106.83,127,3177,3343.959407
S228,Non-metamorphic,7.63,10,63,73,10.75,7.17,106.83,127,3177,614.8982109
S229,Non-metamorphic,7.63,13,67,75,10.75,7.17,106.83,127,3177,503.3866677
S230,Non-metamorphic,7.63,15,63,72,10.75,7.17,106.83,127,3177,551.3327705
S231,Non-metamorphic,7.63,13,68,82,10.75,7.17,106.83,127,3177,0
S232,Metamorphic,7.63,9,69,78,10.75,7.17,106.83,127,3177,7879.663304
S233,Non-metamorphic,7.63,7,63,51,10.75,7.17,106.83,127,3177,19600.82202
S234,Non-metamorphic,7.63,9,58,63,10.75,7.17,106.83,127,3177,1403.439924
S235,Non-metamorphic,7.63,9,61,66,10.75,7.17,106.83,127,3177,430.1289686
S236,Non-metamorphic,7.63,11,64,77,10.75,7.17,106.83,127,3177,840.3950867
S238,Non-metamorphic,7.63,8,59,63,10.75,7.17,106.83,127,3177,450.0185019
S239,Non-metamorphic,7.63,10,62,70,10.75,7.17,106.83,127,3177,675.8083062
S240,Metamorphic,7.63,8,63,67,10.75,7.17,106.83,127,3177,561621.4736
S241,Non-metamorphic,7.63,10,65,70,10.75,7.17,106.83,127,3177,1140.403134
S242,Non-metamorphic,7.63,11,61,69,10.75,7.17,106.83,127,3177,208.7149224
T001,Metamorphic,7,11,65,60,10.37,5.45,86.63,64,3087,15258766.53
T054,Non-metamorphic,7,9,55,65,10.37,5.45,86.63,64,3087,3022.631141
T055,Non-metamorphic,7,13,65,75,10.37,5.45,86.63,64,3087,6039.808546
T056,Non-metamorphic,7,13,60,75,10.37,5.45,86.63,64,3087,1135.053237
T057,Non-metamorphic,7,5,50,67,10.37,5.45,86.63,64,3087,27122.57654
T058,Non-metamorphic,7,5,50,50,10.37,5.45,86.63,64,3087,166010.6155
